	0	1984					George Orwell		1949		SCI-FI  	BORROWED

	1	Alif					Umaira Ahmed		2019		ROMANCE 	BORROWED

	2	All That Glitters			Holly Smale		2015		ROMANCE 	AVAILABLE

	3	Allegiant				Veronica Roth		2013		TEEN    	AVAILABLE

	4	Angels and Demons			Dan Brown		2003		ADVENTURE	BORROWED

	5	As Time Goes By				Carrie Dreamer		2015		ADVENTURE	BORROWED

	6	Catching Fire				Suzanne Collins		2009		ADVENTURE	AVAILABLE

	7	Chamber of Secrets			J.K Rowling		1998		FANTASY 	BORROWED

	8	Charlotte's Web				E.B White		1952		CHILDREN	BORROWED

	9	Deathly Hallows				J.K Rowling		2007		FANTASY 	BORROWED

	10	Diary of a Wimpy Kid			Jeff Kinney		2007		TEEN    	AVAILABLE

	11	Divergent				Veronica Roth		2011		TEEN    	AVAILABLE

	12	Double Down				Jeff Kinney		2016		TEEN    	AVAILABLE

	13	Ender's Game				Orson S Card		1985		SCI-FI  	AVAILABLE

	14	Fault In Our Stars			John Green		2012		TEEN    	AVAILABLE

	15	Forever Geek				Holly Smale		2017		ROMANCE 	BORROWED

	16	Four					Veronica Roth		2014		TEEN    	AVAILABLE

	17	Geek Drama				Holly Smale		2015		ROMANCE 	AVAILABLE

	18	Geek Girl				Holly Smale		2013		ROMANCE 	BORROWED

	19	Goblet of Fire				J.K Rowling		2000		FANTASY 	AVAILABLE

	20	Half-Blood Prince			J.K Rowling		2005		FANTASY 	AVAILABLE

	21	Handmaid's Tale				Margaret Atwood		1984		SCI-FI  	BORROWED

	22	Hard luck				Jeff Kinney		2013		TEEN    	AVAILABLE

	23	Head Over Heels				Holly Smale		2016		ROMANCE 	AVAILABLE

	24	Holes					Louis Sachar		1998		CHILDREN	AVAILABLE

	25	Inferno					Dan Brown		2013		ADVENTURE	AVAILABLE

	26	Insurgent				Veronica Roth		2012		TEEN    	AVAILABLE

	27	Lord of The Rings			J.R.R Tolkien		1954		FANTASY 	BORROWED

	28	Matilda					Roald Dahl		1988		CHILDREN	BORROWED

	29	Me Before You				Jojo Moyes		2012		ROMANCE 	BORROWED

	30	Mockingjay				Suzanne Collins		2010		ADVENTURE	AVAILABLE

	31	Model Misft				Holly Smale		2013		ROMANCE 	AVAILABLE

	32	Old School				Jeff Kinney		2015		TEEN    	AVAILABLE

	33	Order of the Phoenix			J.K Rowling		2003		FANTASY 	AVAILABLE

	34	Peter and Wendy				J.M Barrie		1904		CHILDREN	AVAILABLE

	35	Philosopher's Stone			J.K Rowling		1997		FANTASY 	AVAILABLE

	36	Picture Perfect				Holly Smale		2014		ROMANCE 	AVAILABLE

	37	Prince of Azkaban			J.K Rowling		1999		FANTASY 	AVAILABLE

	38	Rodrick Rules				Jeff Kinney		2008		TEEN    	AVAILABLE

	39	The Cat in the Hat			Dr Seuss		1957		CHILDREN	AVAILABLE

	40	The Da Vinci Code			Dan Brown		2000		ADVENTURE	BORROWED

	41	The Getaway				Jeff Kinney		2017		TEEN    	AVAILABLE

	42	The Giving Tree				Shel Silver		1964		CHILDREN	AVAILABLE

	43	The Hobbit				J.R.R Tolkien		1937		FANTASY 	AVAILABLE

	44	The Hunger Games			Suzanne Collins		2008		ADVENTURE	AVAILABLE

	45	The Last Straw				Jeff Kinney		2009		TEEN    	AVAILABLE

	46	The Long Haul				Jeff Kinney		2014		TEEN    	AVAILABLE

	47	The Lost Symbol				Dan Brown		2009		ADVENTURE	BORROWED

	48	The Martian				Andy Weir		2011		SCI-FI  	BORROWED

	49	The Meltdown				Jeff Kinney		2018		TEEN    	AVAILABLE

	50	The Notebook				Nicholas Sparks		1996		ROMANCE 	AVAILABLE

	51	The Ugly Truth				Jeff Kinney		2010		TEEN    	AVAILABLE

	52	The Witches				Roald Dahl		1983		CHILDREN	AVAILABLE

	53	To All The Boys				Jenny Han		2014		ROMANCE 	BORROWED

	54	When Breath Becomes Air			Paul Kalanithi		2016		NON FICTION	AVAILABLE

	55	Wrecking Ball				Jeff Kinney		2019		TEEN    	BORROWED

